Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
B,23,,ཉེར་གསུམ་པ་བྱང་ཆུབ་སྙིང་པོར་གཤེགས་པ་ནི།,Chapter 23: Proceeding to Bodhgaya.,,,Vol. Cha (6) p. 19.,,"Vinayavastu (Saṃghabhedavastu): vol. Nga, 27b.6-29a.6",,,"<svg xmlns='http://www.w3.org/2000/svg'><g><path xmlns='http://www.w3.org/2000/svg' d='M17508.6,2442.8c-57.8-40-152.2-94.6-261.8-87.4c-68.2,4.4-72-39-102-93s-24-159-114-237c-65.8-57-204-57-251.4-94.2c-65-51-73-126.4-162.4-145.8c-64.6-14-120,0-162-30s-174-69-228-57c-54,12-135,48-177,6c-42-42-51-99-66-129c-17.2-34.4-48.4-52.6-114-69c-52.4-13-164,11-182-25c-18-36-52-98-118-134c-28.4-15.4-129-26-183-53c-38.8-19.4-167.8-3.4-203.8,8.6s-99.6,38.8-132,52c-69.2,28.4-132.2,118.4-180.2,130.4c-48,12-117,36-159,78c-42,42-75.8,94.6-93,141c-30,81-87,69-141,99c-54,30-126.2,70.2-159,123c-16.2,26-62,46.2-90,81c-36,45-39,141-39,141c-30,54-164.6,108.6-162,156c4,69,49.2,288.2,41,449.6c-11,219.4-105.2,535.4-143,639.4c-48,132-255,417-315,477s-141,150-110,227.6c21.6,54,608,412,604,404c0,0,724-217.6,826-205.6c102,12,155.6-66.8,213-111c78-60,132-144,300-15c77.4,59.4,32.8,146.8,174,150c251.2,5.6,227.2,169.6,283.2,141.6c35.8-18,65.8-48.6,76-124c0,0-20-60,8-92s60-40,76-72s36-108,148-140s168,4,212,24s72,76,104,60s36-48,80-84s84-28,88-64s-24-124,20-156s116.2-56.2,132-84c32-56,4-120,44-144s64-40,92-76s112-48,132-68s-20-92,4-124s68-52,72-88s-9-105,16-140c40-56,108-32,128-56s68-92,88-112s-16-68,0-96s52-96,60-136s4-100,24-124S17596.2,2503.6,17508.6,2442.8z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/><path xmlns='http://www.w3.org/2000/svg' d='M14233.2,8038.8c350.2,22.4,796-11.4,884-17c134.8-8.6,614.8-68.6,872.8,30.4c187.2,71.8,272.8,177.8,288,309c15,129,69,102,117,156c48,54,65,123.2,78.4,206.8c14.6,90.2,182,69.4,206.6,195.2c23.4,120.2-45,213-153,231c-108,18-155.6,83.8-191.6,197.8c-36,114-42.4,291.2-114.4,381.2c-13.4,16.8-37.4,31-50.8,46l-1-1c0,0-28.4-58.6-62.2-78c-30.4-17.4-72-66-105-99c-33-33-44-139-99-189c-66-60-147-54-207-51s-111,33-150,75c-39,42-86,130.4-99,150c-30,45-72.6,61.2-108,78c-63,30-27,75-99,123c-72,48-39-45-39-63s3-39-33-81s-81-42-129-48c-39.4-5-131.8-77-180-105.6l-1.4-8c-8.8-0.8-14.8-1.8-22.6-3.4c-30-6-90-12-135-12c-45,0-84,36-96,51c-12,15-69,55-135,79c-39.6,14.4-189,49-189,49s-126,16-225,28c-99,12-147,90-147,90c-3,15-21,43-21,65l-4,2c-46-34-79.2-72.2-128-94c-54-24-12-120.2-12-162.2c0-42-45-107.8-99-143.8c-54-36-177-27-219-27c-42,0-140,57-189-9c-10.6-14.2-12.8-49.8-2-85.4c0,0,15-94.6-1-130.6s-74-98-84-102s-48-68-48-82s-34-72-44-82s-98-98-148-126s-138-74-148-78s-82-28-106-50c0,0-154-152-198-206s-194-230-204-244s-96-182-106-200s-40-64-26-72c29.4-16.8,98-54,114-82s16-68,28-88s34-48,24-74s-52-50-62-74s-9-84.4,0-106c24-58,66-36,82-60s-8-44,4-68s4-54,10-80s20.2-45,40-42c26,4,64-4,102,22s135.4,114.6,206,118c59.8,2.8,261.6-13,344-34.6c122.4-32.2,273.4-128,298-121.2c39.8,11,200,533.8,244,545.8s178,58,214,80s78,68,116,90s94,52,172,64S14233.2,8038.8,14233.2,8038.8z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></g></svg>"
B,23,1,དེ་ནས་བྲག་རི་མེ་ཏོག་དང་འབྲས་བུས་བརྒྱན་པ་ཞིག་ཏུ་བཞུགས་པ་ན་,"Continuing to pursue the end he had in view, the Bodhisattva seated himself at first in a cave – the margins of which were flecked with flowers and fruits.",བྲག་རི་བཞུགས་པས་རི་ཉི་བ་,"Seated on a rock mountain, the mountain collapsed",བྲག་དེའུ་མེ་ཏོག་གིས་བརྒྱན་པ་ལ་བཞུགས་པས། བྲག་ཉིལ་བ་དང་། ལྷས་བསྐུལ་ཏེ་དེ་ན་ཕར་གཤེགས་པ་ལ། ཆུ་ནང་ནས་ཀླུའི་རྒྱལ་པོ་དུས་ཅན་ཞེས་བྱས་བསྟོད་པ་དང་། རྩྭ་འཚོང་བཀྲ་ཤིས་འཁོར་བཅས་ཀྱི་རྩྭ་ཕུལ་བ་དང་།  བྱང་ཆུབ་སྙིང་པོར་གཤེགས་པའི་སྐོར་རོ། །,"The Buddha leaves the rocky hill after a sliding of rocks. Nāga King, Kālika (dus can) praises the Buddha. A grass-seller named Svastika (bkra shis) and his servants offer grass to the Buddha. The Buddha leaves for Bodhgaya (byang chub snying po).",27b.6-7,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M14604,9513c-12,15-69,55-135,79c-39.6,14.4-189,49-189,49s-126,16-225,28c-99,12-147,90-147,90c-3,15-21,43-21,65l-4,2c-46-34-79.2-72.2-128-94c-54-24-12-120.2-12-162.2c0-42-45-107.8-99-143.8c-54-36-177-27-219-27c-42,0-140,57-189-9c-10.6-14.2-12.8-49.8-2-85.4c0,0,15-94.6-1-130.6s-74-98-84-102s-48-68-48-82s-34-72-44-82s-98-98-148-126s-138-74-148-78s-82-28-106-50c0,0-154-152-198-206s-194-230-204-244s-96-182-106-200s-40-64-26-72c29.4-16.8,98-54,114-82s16-68,28-88s34-48,24-74s-52-50-62-74s-9-84.4,0-106c24-58,66-36,82-60s-8-44,4-68s4-54,10-80s20.2-45,40-42c26,4,64-4,102,22s135.4,114.6,206,118c59.8,2.8,261.6-13,344-34.6c122.4-32.2,273.4-128,298-121.2c39.8,11,200,533.8,244,545.8s178,58,214,80s78,68,116,90s94,52,172,64s176.2,16.8,176.2,16.8c202.8,4.4,208.8,103.4,205.8,409.2c0,0,12,171,39,225c27,54,78,105,111,138c33,33,6,111,24,135c18,24,42,33,48,54c6,21-6,57,12,57c18,0,69,9,66,39c-3,30-6,27,21,48s42,39,36,51c-6,12-9,33-9,33s18,30,6,42c-12,12-117,12-129,72s-27,105-60,177V9513z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
B,23,1,དེ་མ་ཐག་ཏུ་རི་དེ་ཉིལ་ལོ།,The mountain [where the cave was located] crumbled beneath him.,,,,,27b.7,,
B,23,1,།ལྷ་རྣམས་ཀྱིས་གསོལ་བ། དགེ་བའི་རྩ་བ་ཡོངས་སུ་སྦྱངས་པ་མཐར་ཕྱིན་པ་ནི་ས་གཞན་གྱིས་བཟུང་བར་མི་ནུས་ཏེ། འདི་དང་ཉེ་བ་ཕྱོགས་འདི་ལྟ་བུ་ཞིག་ན་རྡོ་རྗེའི་གདན་མཆིས་ཏེ་ད་ནི་དེར་བཞུད་ཅིག,"The gods explained: “You have accumulated so much merit that no place on earth can support your weight except the Vajrāsana (Rdo rje’i gdan), which is to be found not far from here.”",,,,,27b.7-28a.2,,
B,23,1,དེ་ནས་ལྷས་ལམ་བསྟན་པ་བཞིན་བཞུད་པ་ན་ཞབས་གང་བཞག་སར་པདྨ་དག་བྱུང་ངོ་།,"The gods accompanied him, clearing for him the path ahead. Wherever the Bodhisattva’s foot fell, lotus-flowers emerged from the ground,",ལྷ་རྣམས་ཀྱི་ལམ་བསྟན་པ་,Gods showed the path,,,28a.3,,
B,23,1,།རྒྱ་མཚོ་ཆེན་པོ་བཞི་ལས་ཆུ་བབས་ཏེ་པདྨའི་རྫིང་དག་ཏུ་གྱུར་ཏོ།,and the waters of the four oceans ran into the prints of his feet – transforming them into bowls for the lotuses to float in.,,,,,28a.4,,
B,23,1,།དེ་ནས་ཡང་གཤེགས་ཏེ་ཞབས་ཀྱི་གོམས་པ་བོར་བ་ནས་ཆེན་པོ་འདི་འཁར་བའི་སྣོད་ལ་དབྱུ་གུས་བསྣུན་པ་བཞིན་སྒྲ་འབྱུང་ངོ་།,"The Bodhisattva continued to walk and each time his foot touched the ground, the earth rang clear as a bronze bell.",,,,,28a.4,,
B,23,1,།བྱ་ཙ་རྐ་དང་རི་དྭགས་དག་ཀྱང་བྱང་ཆུབ་སེམས་དཔའ་ལ་སྐོར་བ་བྱེད།,"Clouds of thrushes swirled around him, and a multitude of wild animals skipped playfully behind.",,,,,28a.4,,
B,23,1,ལྷ་རྣམས་ཀྱིས་ཀྱང་ཆར་ཟིམ་བུས་ཆག་ཆག་འདེབས་ཤིང་སེར་བུ་འཇམ་པོ་དག་གཏོང་བར་བྱེད་དོ།,The gods sprinkled him with iridescent raindrops and fanned him with a soft and fragrant breeze.,,,,,28a.4-5,,
B,23,2,"།ཆུ་ཀླུང་ནི་རཉྫ་ནར་ཀླུའི་རྒྱལ་པོ་དུས་ཅན་ཞེས་བྱ་བ་དུས་གཞན་ཐམས་ཅད་དུ་ལོང་བ་ལས། འཇིག་གརྟེན་དུ་སངས་རྒྱས་འབྱུང་བའི་ཚེ་མིག་ཐོབ་སྟེ་","In the bed of the river Nairañjana there lived Kālika (Dus can) a serpent-king who was blind, but who recovered his sight each time a Buddha appeared in the world.",ཀླུའི་རྒྱལ་པོ་དུས་ཅན་,Nāgā king Kālika,,,28a.6,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M14611,9502c0,0,14-42,24-62s32-98,44-124s88-36,108-42s10-34,0-42s6-34,12-50s-36-40-50-42s-14-38-18-58s-16-18-38-22s-26-6-34-36s-8-34-20-52s-36-30-34-64s-8-88-20-100s-84-100-112-142s-36-276-36-374s-28-170-38-196c-8.4-21.8-53-42-67.4-48.2c-1.2-0.6-1-2.2,0.4-2.4l13.2-1.4c327.2,10.4,693.2-17.2,772-22.4c134.8-8.6,614.8-68.6,872.8,30.4c187.2,71.8,272.8,177.8,288,309c15,129,69,102,117,156c48,54,65,123.2,78.4,206.8c14.6,90.2,182,69.4,206.6,195.2c23.4,120.2-45,213-153,231c-108,18-155.6,83.8-191.6,197.8c-36,114-42.4,291.2-114.4,381.2c-13.4,16.8-37.4,31-50.8,46l-1-1c0,0-28.4-58.6-62.2-78c-30.4-17.4-72-66-105-99c-33-33-44-139-99-189c-66-60-147-54-207-51s-111,33-150,75c-39,42-86,130.4-99,150c-30,45-72.6,61.2-108,78c-63,30-27,75-99,123c-72,48-39-45-39-63s3-39-33-81s-81-42-129-48c-39.4-5-131.8-77-180-105.6l-1.4-8c-8.8-0.8-14.8-1.8-22.6-3.4c-30-6-90-12-135-12c-41.4,0-54,9.4-69,26L14611,9502z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
B,23,2,སྔོན་གྱི་སངས་རྒྱས་འཁོར་བ་འཇིག་ལ་སོགས་པའི་ཡང་ཞལ་མཐོང་བ་ཞིག་གོ །སྐབས་དེར་དེས་མིག་གིས་མཐོང་བར་གྱུར་ཞིང་།,"Thus, Kālika had gazed upon the face of Krakucchaṇḍa-buddha (sangs rgyas ’Khor ba ’jig) as well as upon the faces of other buddhas of past times. [Hence] that day [too], he could see.",,,,,,,
B,23,2,"ས་ཆེན་པོ་སྒྲ་སྒྲོག་པའང་ཐོས་ནས་རང་གི་གནས་ལས་བྱུང་སྟེ་ས་སྟེང་དུ་འཐོན་ནས་","When he heard the earth ringing like a bell, he left his underwater palace and made for the surface of the earth.",,,,,,,
B,23,2,རྒྱང་རིང་པོ་ཁོ་ན་ནས་བཅོམ་ལྡན་འདས་མཐོང་བ་ན། ངེས་པར་སངས་རྒྱས་སུ་འགྱུར་བར་ཤེས་ནས་,"Although he perceived the Bhagavan from a long way off, he knew, without the smallest doubt, that this man would become a buddha.",,,,,,,
B,23,2,དེས་སྨྲས་པ། བདག་གིས་སྔོན་ནི་མཐོང་བ་ཡི། །སངས་རྒྱ་མཐུ་ཆེན་དེ་རྣམས་དང་། །ཐུབ་པ་ཁྱོད་ནི་མཐོང་གྱུར་ན། །དེ་དག་ཐ་དད་དབྱེར་མ་མཆིས།,"He said [to the Bodhisattva]: Those whom I saw in the past, all became powerful buddhas. The fact that I can see you, O Wise One, shows that you’re no different from them,",,,,,,,
B,23,2,།ཞེས་བྱ་བ་ལ་སོགས་པ་རྒྱ་ཆེར་བསྟོད་དོ།,he said as a preamble to a long paean of praise.,,,,,,,
B,23,3,།དེ་ནས་ཡང་གཤེགས་པ་ན་ལྷའི་རྒྱལ་པོའི་འཇུག་པ་རྩྭ་འཚོང་བཀྲ་ཤིས་དང་མཇལ་ཏེ།,"A little farther along, the Bodhisattva met Svastika (Bkra shis) a young hay merchant that the king of the gods had placed [on purpose] in the former’s way.",,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M17508.6,2442.8c-57.8-40-152.2-94.6-261.8-87.4c-68.2,4.4-72-39-102-93s-24-159-114-237c-65.8-57-204-57-251.4-94.2c-65-51-73-126.4-162.4-145.8c-64.6-14-120,0-162-30s-174-69-228-57c-54,12-135,48-177,6c-42-42-51-99-66-129c-17.2-34.4-48.4-52.6-114-69c-52.4-13-164,11-182-25c-18-36-52-98-118-134c-28.4-15.4-129-26-183-53c-38.8-19.4-167.8-3.4-203.8,8.6s-99.6,38.8-132,52c-69.2,28.4-132.2,118.4-180.2,130.4c-48,12-117,36-159,78c-42,42-75.8,94.6-93,141c-30,81-87,69-141,99c-54,30-126.2,70.2-159,123c-16.2,26-62,46.2-90,81c-36,45-39,141-39,141c-30,54-164.6,108.6-162,156c4,69,49.2,288.2,41,449.6c-11,219.4-105.2,535.4-143,639.4c-48,132-255,417-315,477s-141,150-110,227.6c21.6,54,608,412,604,404c0,0,724-217.6,826-205.6c102,12,155.6-66.8,213-111c78-60,132-144,300-15c77.4,59.4,32.8,146.8,174,150c251.2,5.6,227.2,169.6,283.2,141.6c35.8-18,65.8-48.6,76-124c0,0-20-60,8-92s60-40,76-72s36-108,148-140s168,4,212,24s72,76,104,60s36-48,80-84s84-28,88-64s-24-124,20-156s116.2-56.2,132-84c32-56,4-120,44-144s64-40,92-76s112-48,132-68s-20-92,4-124s68-52,72-88s-9-105,16-140c40-56,108-32,128-56s68-92,88-112s-16-68,0-96s52-96,60-136s4-100,24-124S17596.2,2503.6,17508.6,2442.8z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
B,23,3,རི་སྤོས་ངད་ལྡན་ལས་བླངས་པའི་རྩྭ་འཇམ་ཞིང་རེག་ན་བདེ་བ་ཁུར་གཅིག་ཡོད་པ།,The boy was carrying an armful of sweet fragrant grasses gathered from Gandhamādana (ri spos ngad ldan).,,,,,,,
B,23,3,བྱང་ཆུབ་སེམས་དཔས་རྩྭ་དེ་བསླངས་པ་ན། དེས་ཀྱང་གུས་པ་དང་བཅས་པས་ཕུལ།,"In response to the Bodhisattva’s request, Svastika joyously and with reverence, offered the sheaf of stalks to him.",རྩྭ་ཚོང་བཀྲིས་ལས་དུར་པ་བཞེས་པ་,Receives kuśa grass from the grass seller Svastika,,,,,
