Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
1,10,1,བཅུ་པ་སྒྱུ་རྩལ་གྱི་སྟོབས་བསྟན་པ་ནི།,Chapter 10. The Bodhisattva Shows his Prowess in the Martial Arts,,,Vol. Kha (2) pp. 13-14.,,"Vinayavastu (Saṃghabhedavastu): vol. 3 (Ga), 288a.4-289b.4",Abhiniṣkramaṇa-sūtra: vol. 72(Sa),
1,10,1,དེ་ནས་དུས་གཞན་ཞིག་ན།  ཤཱཀྱ་གཤོན་ནུ་ལྔ་བརྒྱ་ཕྱིར་བྱུང་བ་ན། ཤཱཀྱ་གཤོན་ནུ་གཞན་རྣམས་ལྷས་བྱིན་གྱིས་སྟོབས་འགྱེད་པས་བསྒྱེལ་བ་ན། བྱང་ཆུབ་སེམས་དཔའ་ཕྱོགས་དེར་བྱོན་ནས། ལྷས་བྱིན་ཕྱག་གིས་བསྣམས་ཏེ། གནོད་པ་མེད་པར་རྒྱང་རིང་དུ་འཕངས་པས། རྐང་པ་གྱེན་དུ་བསྟན་ནས་གན་རྐྱལ་དུ་ལྟུང་ངོ་། །ཞེས་པ་འདི་མངོན་པར་འབྱུང་བའི་མདོ་ལས་བཤད་དོ།,"Then at another time, five hundred Shakya youths were outside, when Devadatta challenged them and knocked them down. The Bodhisattva approached, and Devadata grabbed him. The Bodhisattva hurled Devadatta far away without harming him and he landed on his back with his feet in the air. This is described in the Abhiniṣkramaṇa-sūtra.","གཞོན་ནུས་ལྷས་བྱིན་ཕྱགིས་བ་གནོད་པ་མེད་པར་རྒྱང་རིང་དུ་འཕངས་བ་

ལྷས་བྱིན་","The young prince hurled Devadatta away without harming him.

Devadatta",ལྷས་སྦྱིན་གྱི་གླང་པོ་ཆེ་བསད་པ་དང་། དགའ་བོས་འཇུག་མ་ནས་བོར་བ་དང་། བྱང་ཆུབ་སེམས་དཔས་ཕྱག་གི་རིང་དུ་འཕང་པ་རྣམས་སྤྱི་དང་འདྲ། འདི་ལ་ཞབས་ཀྱི་མཐེ་པོས་འཕང་པ་ཐེག་ཆེན་གྱི་ལུགས་ཡིན། སྔོན་འབྱུང་ལུགས་དང་། འདུལ་བ་སོགས་ནས་ཕྱག་གི་འཕང་པ་གསལ་བར་བཤད། ཤིང་མང་པོ་རལ་གྲིས་བཅད་པ། གཞན་རྣམས་ཀྱིས་བཅད་པ་ཚོ་བཅད་མ་ཐག་འགྱེལ། བྱང་ཆུབ་སེམས་དཔས་དེ་བཅད་ཀྱང་རིང་དུ་མ་འགྱེལ་བ་དང་། རླུང་པོ་བྱུང་ནས་འགྱེལ་བ་འབྲི།   དེ་ནས་མདའ་ཚ་བས་འདྲེན་པའི་བཀོད་པ་སྤྱི་དང་འདྲ། ,"Devadatta (lhas sbyin) kills an elephant. Nanda (dga’ bo) catches an elephant by the tail, but loses it. The Buddha grabs an elephant and throws it far away. This scene should accord with common [understandings]. The Mahayana tradition has it that the Buddha throws an elephant with his big toe, but it is clear in the traditions of history (sngon 'byung) and Vinaya and so forth that Buddha throws an elephant with his hand. Many trees are cut. The trees fall immediately when others cut them down. The trees the Buddha cuts down won't fall for a long time. They only fall when winds blow them. Then, there is the archery contests drawn according to common conceptions. ",N/A,"Abhiniṣkramaṇa-sūtra: vol. 72(Sa), 18b.3-4",
1,10,2,།དེ་ནས་ཡངས་པ་ཅན་པའི་ལི་ཙ་བི་རྣམས་ཀྱིས་གླང་པོ་ཆེ་མཚན་ལྡན་ཞིག་རྙེད་ནས།,Then the Licchavis of Vaishali acquired an elephant exceptional qualities.,,,,,288a.4,,
1,10,2,ཟས་གཙང་གི་སྲས་འཁོར་ལོས་སྒྱུར་བར་འགྱུར་གྱི།  དེའི་མཐུ་ལས་གླང་པོ་ཆེ་རིན་པོ་ཆེ་འདི་བྱུང་བས་ དེ་ཁོ་ན་ལ་འབུལ་ལོ་ཞེས་ཕོ་ཉ་མངགས་ཏེ།,"A messanger said, ""Shudhodana's son will become a Universal Ruler. This precious elephant has appeared through his power, and so we will offer it to him.""",,,,,288a.4,,
1,10,2,སེར་སྐྱའི་གཞིར་ཕྱིན་ནས་ཕོ་བྲང་གི་སྒོ་གླང་པོ་ཆེ་དེ་ཁྲིད་ནས་བསྡད་པ་ན།,"They travelled to Kapilavastu, brought the elephant before the palace gates, and waited.",,,,,288a.5,,
1,10,2,ལྷས་བྱིན་ཕྱིར་བྱུང་བས་མཐོང་སྟེ་གླང་པོ་དམ་པ་འདི་ཅི་ཞེས་དྲིས་པ་ན།,"Devadatta appeared and saw the the wonderful elephant. He asked, ""What is this doing here?""",,,,,288a.5-6,,
1,10,2,དེ་དག་གིས་སྔར་བཞིན་བསྙད་པས་,The messengers explained the story as before.,,,,,288a.6-7,,
1,10,2,ལྷས་བྱིན་ཕྲག་དོག་སྐྱེས་ཏེ།  དེ་འཁོར་ལོས་སྒྱུར་བར་མ་སོང་བའི་སྔོན་རོལ་ནས་གླང་ཆེན་འབུལ་ལམ་ཞེས་,"Devadatta became jealous. ""You would give a great elephant to Siddhartha even before he has become a universal monarch?""",,,,,288a.7-288b.1,,
1,10,2,ཐལ་ལྕག་བསྣུན་ནས་གླང་པོ་ཆེ་བསད་དོ།,He slapped the elephant with the palm of his hand and killed it.,ལྷས་བྱིན་,Devadatta,,,288b.1,,
1,10,2,།དགའ་བོས་དེ་མཐོང་ནས།  ལྷས་བྱིན་གྱིས་ནི་རང་གི་མཐུ་བསྟན་གྱི།  བདག་གིས་ཀྱང་བསྟན་ནོ་སྙམ་ནས་,"Nanda witnessed this and thought, ""Devadatta has displayed is strength, and now so shall I.""",,,,,288b.1-2,,
1,10,2,དེའི་མཇུག་མ་ནས་བཟུང་སྟེ་ཁྱེར་ནས་གོམ་པ་བདུན་ཙམ་སོང་ནས་མཐའ་ཅིག་ཏུ་བོར་རོ།,"Nanda caught hold of the elephant by its tail, dragged it seven paces and flung some distance away.",དགའ་བོ་,Nanda,,,288b.2,,
1,10,2,།དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་བྱོན་ཏེ། དེ་གཟིགས་ནས་དྲི་བ་མཛད་པ་ན་,"At that point the Bodhisattva appeared, looked at them, and asked what had happened.",གླང་ཆེན་རོ་,Elephant corpse,,,288b.2-4,,
1,10,2,སྔར་བཞིན་རྒྱས་པར་བསྙད་དོ། །འོ་ན་བདག་གིས་ཀྱང་མཐུ་སད་པར་བྱའོ་སྙམ་དུ་དགོངས་ནས་,"They explained the elephant to him as before, and he thought, ""Well, I shall awaken my powers as well.""",,,,,288b.4,,
1,10,2,དེའི་མཇུག་མ་ནས་ཕྱག་གིས་བཟུང་སྟེ་བཏེག་ནས་རྒྱང་དུ་འཕངས་པས།,Then with one hand he picked the elephant up by the tail and hurled him far away.,,,,,288b.4,,
1,10,3,ལྕགས་རི་རིམ་པ་བདུན་དང་འོབས་རིམ་པ་བདུན་འདས་ཏེ་རྒྱང་གྲགས་ཙམ་གྱི་ཕ་རོལ་ཏུ་ལྷུངས་ཤིང་། ཕྱོགས་དེར་ས་ལ་གཤོང་བུ་དོད་པས་,"The elephant went over the seven city ramparts and the seven city moats, and landed more than a league away, making a hollow in the ground there.",,,,,288b.4-5,,
1,10,3,གླང་བོའི་གཤོང་ཞེས་གྲགས་ཤིང་དེར་མཆོད་རྟེན་ཡང་བྱས་སོ།,"This place became known as Elephant Hollow, and a stupa was made there.",གླང་པོ་གཤོངས་,Elephant Hollow,,,288b.5-6,,
1,10,4,།དེ་ནས་གཞོན་ནུ་རྣམས་ནགས་སུ་ཕྱིན་ཏེ་རལ་གྲིས་ཤིང་གཅོད་པའི་སྒྱུ་རྩལ་སྟོན་པ་ན།  བྱང་ཆུབ་སེམས་དཔའ་ཡང་དེར་བྱོན་ཏེ།,"The youths then went to the forest, where they practiced hacking down trees with swords, when the Bodhisattva arrived.",,,,,"288b.7
",,
1,10,4,གཞན་རྣམས་ཀྱིས་ཤིང་བཅད་པ་ན་བཅད་ཁ་མཐོ་དམན་ཅན་དུ་གྱུར་པས་བཅད་ཙམ་ཉིད་ནས་འགྱེལ།,"The others hacked at the tree, cutting wedges from above and below and when it was just cut through the tree came down.",,,,,288b.7-289a.1,,
1,10,4,བྱང་ཆུབ་སེམས་དཔའི་རྣམས་མཐོ་དམན་མེད་ཅིང་ཡོ་འཁྱོག་མེད་པར་བཅད་པས་མ་འགྱེལ་བར་སྔར་བཞིན་འདུག་གོ,The Bodhisattva did not chop his trees with wedges from above and below. He sliced straight through them and they did not fall as happened previously [with the youths]. ,,,,,289a.1,,
1,10,4,བྱང་ཆུབ་སེམས་དཔས་གཅོད་མ་ཐུབ་བོ་སྙམ་གཅོད་པའི་རིག་པ་མི་མཁྱེན་ནོ་ཞེས་སྨོད་ཅིང་གླེང་བར་བརྩམས་པ་ན།  རླུང་སེར་བུ་ཞིག་ལངས་ནས་བྱང་ཆུབ་སེམས་དཔས་བཅད་པའི་ཤིང་དེ་དག་དུས་གཅིག་ཏུ་ཆོམ་ཞེས་འགྱེལ་པས་ཐམས་ཅད་ངོ་མཚར་དུ་གྱུར་ཏོ།,"They thought the Boddhisattva was unable to cut down the trees and ridiculed him saying, ""He doesn't know how to cut anything."" But as they began talking about him, a light breeze aroze and the trees cut by the Bodhisattva fell all together at once with a boom. Everyone was amazed.",གཞོན་ནུས་ཤིང་བཅད་པ་རྣམས་རླུང་གིས་འགྱེལ་བ་,The trees cut by the Youth fall in the breeze.,,,289a.1-4,,
1,10,5,།དེ་ནས་ཤཱཀྱ་གཞོན་ནུ་རྣམས་མདའ་ཚབས་འགྲན་པ་ལ་ཞུགས་ཏེ།,"Next, the Shakya youths held an archery competition.","གཞོན་ནུ་

དགའ་བོ་

ལྷས་བྱིན་","The Youth

Nanda

Devadatta",,,289a.4-5,,
1,10,5,ལྕགས་ཀྱི་ཏ་ལ་བདུན་དང་།  ལྕགས་རྔ་བདུན་དང་།  ལྕགས་ཀྱི་ཕག་གཟུགས་གཅིག་རྣམས་འབེན་དུ་བཙུགས་ཏེ་སོ་སོར་མདའ་འཕངས་བ་ལས། ལྷས་བྱིན་གྱིས་ཏ་ལ་གཅིག་ཕིགས། དགའ་བོས་གཉིས་ཕུག་སྟེ། གཞན་སུས་ཀྱང་དེ་ལས་ལྷག་པ་མ་ཕུག་གོ,"They arranged as targets seven iron Tala trees, seven iron drums, and an iron figure of a boar. They each released an arrow. Devadatta's pierced one Tala tree. Nanda's pierced two. No one could could pierce more than that. ",རྟ་ལ་བདུན་དང་སླང་ང་ལྔ་,Seven tala trees and five drums.,,,289a.5,D0340 Las brgyas tham pa 222b.3,"Tala tree: Borassus flabellifer

There does seem to be an issue with the inscription transcription. (Specifically, ""slang nga lnga"".)"
1,10,5,།བྱང་ཆུབ་སེམས་དཔས་ལྕགས་མདའ་འཕངས་པ་དང་། འབེན་དེ་ཐམས་ཅད་ཕུག་ནས་སླར་ཡང་རྒྱང་རིང་པོར་སོང་ཞིང་མདའ་དེས་ས་ལ་ཕུག་སྟེ།,"The Bodhisattva released an iron arrow, which pierced all the targets and continued flying even farther before striking the ground.",,,,,289a.5-6,,
