Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
1,14,1,བཅུ་བཞི་བ་ངེས་པར་འབྱུང་བའི་རྐྱེན་ནི།,Chapter 14. The Circumstances of his Renunciation,,,Vol. Nga (4) p. 15.,,"Vinayavastu (Saṃghabhedavastu): vol. Ga, 291b.3 - vol. Nga, 5a.3",,
1,14,1,དེ་ནས་དུས་གཞན་ཞིག་ན་བྱང་ཆུབ་སེམས་དཔས་ཁ་ལོ་སྒྱུར་བ་ལ་གསུངས་པ།  ཀྱེ་ཁ་ལོ་སྒྱུར་བ་བཤོན་པ་བཟང་པོ་མྱུར་དུ་ཤོམས་ཤིག སྐྱེད་མོས་ཚལ་དུ་འགྲོའོ། །དེས་ཀྱང་བཀའ་བཞིན་འཚལ་ཞེས་ཇི་ལྟར་བསྒོ་བ་བཞིན་བཤམས་ཏེ།,"On another occasion the Bodhisattva said to his charioteer, “Charioteer, prepare my best horse, quickly! We shall go to the gardens."" ""As you command,"" he said, and made preparations as ordered.",,,དེ་དག་ཕྱོགས་གང་ཡང་རུང་བར་ཕོ་བྲང་གི་སྒོ་བཞི་ནས། རྒས་པ་དང། ན་བ་དང། ཤི་བ་དང། རབ་ཏུ་བྱུང་བའི་ཚུལ་རྣམས་སྤྱི་དང་འདྲ།,"In whatever places are approproate, from the four gates of the palace, depict general scenes of old age, illness, death, and renunciation. ",291b.3-5,,
1,14,1,དུས་ལ་བབ་པ་ན་ཤིང་རྟར་ཞུགས་ཏེ་བྱོན་པའི་ལམ་དུ་མི་རྒས་ཤིང་འཁོགས་པ་འཁར་བ་ལ་བརྟེན་ནས་འགྲོ་བ་གཟིགས་སོ།,"When the time came they boarded the chairot and set off. Along the road the Bodhisattva saw a decrepit old man walking with the help of a cane. ***At the hour agreed upon, they climbed into the carriage and went off. On their way, the young people met a bent old man who was hobbling along with the help of a cane.","རྒ་བ་རྒས་པ་གཟིགས་པ་","Aging Seeing an old man",,,291b.5-292a.1,,
1,14,1,ཁ་ལོ་སྒྱུར་བ་ལ་གསུང་པ།  འདི་ཅི།,"""What is this?"" he asked the charioteer.",,,,,292a.1-2,,
1,14,1,གསོལ་པ།  ལྷ་འདི་ནི་རྒས་པ་ཞེས་བྱ་སྟེ་རིང་པོར་མི་ཐོགས་པར་འགུམ་པའོ།,"""Divine One,"" the chairioteer replied, ""This is an old person. He will die before long.""",,,,,292a.2,,
1,14,1,།འོ་ན་ང་ཡང་རྒས་པའི་ཆོས་ལས་མ་འདས་སམ།,"""Yet am I not free from the reality of aging?""",,,,,292a.2-3,,
1,14,1,ལྷ་ཡང་བགྲེས་པའི་ཆོས་ལས་མ་འདས་སོ།,"""Even divine ones are not free from the reality of growing old.""",,,,,292a.3,,
1,14,1,།བཀའ་སྩལ་པ་ཤིང་རྟ་ཕྱིར་སྒྱུར་ཞིག་ཕོ་བྲང་ཉིད་དུ་འདོང་ངོ་།,"""Turn the chariott around!"" the Bodhisattva ordered. ""Return to the palace!""",,,,,292a.3,,
1,14,1,།དེར་ཕོ་བྲང་དུ་བྱོན་ནས།  ང་རྒས་པ་ལས་མ་འདས་པ་ལྟ་ཞིག་ཅེས་ཐུགས་ངན་དུ་དགོངས་སོ།,"When they returned the palace, the Bodhisattva despaired, ""See how I am not free from aging.""",,,,,292a.3-5,,
1,14,2,།དེ་ནས་རྒྱལ་པོ་ཟས་གཙང་གིས་ཁ་ལོ་སྒྱུར་བ་ལ་གཞོན་ནུ་སྐྱེད་མོས་ཚལ་དུ་དགྱེས་སམ་ཞེས་དྲིས་པ་ན། སྔར་གྱི་ཚུལ་རྒྱས་པར་གསོལ་བས་,"Then, when King Shudodhana asked the charioteer, ""Did the Youth enjoy the pleasure garden?"" he told the king what happened in detail. ",,,,,292a.5-292b.5,,
