Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།),Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
1,18,1,བཅོ་བརྒྱད་པ་ཁྱིམ་ནས་མངོན་པར་བྱུང་བ་ནི།,Chapter 18. The Bodhisattva Renounces Home,,,,,"Vinayavastu (Saṃghabhedavastu): vol. Nga, 9a.3-13a.5",,
1,18,1,དེ་ནས་བྱང་ཆུབ་སེམས་དཔས་གསུངས་པ། བདག་དང་བུད་མེད་ཁྱིམ་ཉལ་བའི།  །ཐ་མ་དེང་གི་འདི་ཡིན་ཏེ། །ཕྱིན་ཆད་ཁྱིམ་དུ་བུད་མེད་དང་། །ང་ནི་ལྷན་ཅིག་མི་གནས་སོ།,"The Bodhisattva said, ""This night is the last That I will lie at home with a woman. From this day forth, at home with a woman I will not lie together.""",,,,,9a.3-4,,
1,18,1,།དེ་ནས་བུད་མེད་རྣམས་གླུ་གར་དང་རོལ་མོས་དུབ་སྟེ་གཉིད་དུ་སོང་། སྐྲ་ཡང་ཞིག  སྒྲེན་མོར་ཕྱུང་བ་དང་། ཁ་ཆུ་འཛག་ཅིང་སླ་ཅོལ་དུ་སྨྲ་བ་སོགས་གཟིགས་པས་དེ་ཐམས་ཅད་ལ་མི་སྡུག་པའི་འདུ་ཤེས་རྙེད་དོ།,"Tired from singing, dancing, and making music, the women fell asleep. He saw them with disheveled hair, strewn about naked, drooling, and mumbling. He found them all repulsive.",བཙུན་མོ་རྣམས་,Ladies,,,9a.4-6,,
1,18,1,།སྐབས་དེར་སྐྱེ་དགུའི་བདག་མོ་ལ་ཟླ་བ་གཟས་ཟིན་པ་དང་། ཉི་མ་ཤར་ནས་ཤར་དུ་ནུབ་པ་དང་། སྐྱེ་བོ་མང་པོས་བདག་ལ་ཕྱག་བྱས་པ་དང་།  རང་ཉིད་ངུ་ཞིང་རྒོད་པ་རྨིའོ།,"Meanwhile, Prajapati dreamed the moon was eclipsed, the sun rose and then set in the east, and that many people bowed to him as she cried and was upset.",,,,,9b.1-2,,
1,18,1,།གྲགས་འཛིན་མ་ལ་རྨི་ལམ་བརྒྱད་རྨི་སྟེ། ཁྱིམ་གྱི་གདུང་ཆག་པ་དང་། མལ་ཁྲི་ཆག་པ་དང་། ལག་གདུབ་ཆག་པ་དང་། སོ་ལྷགས་པ་དང་། ལན་བུ་ཞིག་པ་དང་། ཁྱིམ་ནས་དཔལ་སོང་བ་དང་། ཟླ་བ་གཟས་བཟུང་བ་དང་། ཉི་མ་ཤར་ཕྱོགས་སུ་ནུབ་པའོ།,Yashodhara had eight dreams. Her house beams splintered. Her bed cracked. Her bangles broke. Her teeth fell out. Her braids fell apart. The status of her house faded. The planets eclipsed the moon. And the sun set in the east.,,,,,9b.2-3,,
1,18,2,།བྱང་ཆུབ་སེམས་དཔའ་ལ་མནལ་ལམ་ལྔ་རྨིས་ཏེ། རི་རབ་ལ་སྔས་མཛད་ཅིང་ས་གཞི་གཟིམས་མལ་དུ་མཛད་པ་དང་། ཕྱག་གཡས་ནུབ་ཀྱི་རྒྱ་མཚོར་བཅུག  གཡོན་ཤར་གྱི་རྒྱ་མཚོར་བཅུག  ཞབས་རྒྱ་མཚོ་ཆེན་པོའི་གཏིང་དུ་བརྐྱངས་པ་དང་། འགྲེང་བ་ཞེས་བྱ་བའི་རྩ་རིང་པོ་ཞིག་སྐུའི་ལྟེ་བ་ནས་སྐྱེས་ཏེ་ནམ་མཁའི་དབྱིངས་སུ་འཕགས་པ་དང་། བྱ་ལུས་དཀར་ལ་མགོ་ནག་པ་མང་པོས་ཞབས་ལ་གཏུགས་ཤིང་ལྡག་ལ།  བྱ་སྣ་ཚོགས་ཕྱོགས་བཞི་ནས་འོངས་ཏེ་སྐུ་མདུན་དུ་འདུས་པ་ན་ཐམས་ཅད་ཁ་དོག་གཅིག་ཏུ་སོང་བ་དང་། མི་གཙང་བའི་རིའི་སྟེང་ནས་བདག་ཉིད་འཆག་པར་མཛད་ཀྱང་མི་གཙང་བས་མ་གོས་པའོ།,"The Bodhisattva had five dreams. Mount Meru was his pillow, and the earth his bed. His right hand touched the western ocean, and his left the eastern ocean. His feet reached the depths of the great ocean. A long stalk of grass called ""the upright"" grew from his navel and rose into the sky. Many birds with white bodies and black heads touched his feet and licked them. Various sorts of birds came from every direction, gathered in the presence of his body, and changed into a single color. And he walked upon a mountain of impure substances yet was unsulied by any impurities.","གཞོན་ནུ་མནལ་བ་ མནལ་ལམ་","The prince dreamt. Dreams",,,9b.3-6,,
1,18,2,།དེར་བྱང་ཆུབ་སེམས་དཔའ་ཐུགས་དགྱེས་ཏེ། ངས་རྨི་ལམ་འདི་ལྟ་བུ་རྨི་ན།  རིང་པོར་མི་ཐོགས་བར་བླ་ན་མེད་པའི་ཡེ་ཤེས་ཐོབ་པར་འགྱུར་རོ་སྙམ་དུ་དགོངས་སོ།,"The Bodhisattva was filled with joy and he thought, ""With dreams such as I have had, before long I will attain unsurpassed wisdom.""",,,,,9b.6,,
1,18,2,།དེར་གྲགས་འཛིན་མས་རྨི་ལམ་རྣམས་གསོལ་བ་ན།  དེར་ཡིད་མི་བདེ་བ་རྣམས་བསལ་བའི་ཕྱིར་རྨི་ལམ་མི་བདེན་པའི་དོན་ཅན་དུ་གསུངས། དེ་ནས་བྱང་ཆུབ་སེམས་དཔས་ད་ནི་བདག་གདོན་མི་ཟ་བར་ནགས་སུ་འགྲོ་བར་བྱ་དགོས་པས། འདི་ལ་ཟུར་གྱིས་བསྟན་ནོ་དགོངས་ཏེ་གྲགས་འཛིན་མ་ལ་ཕྱོགས་མཚོན་པ་ཙམ་གསུངས་པ་ན།,"When Yashodhara recounted her dreams, he told her that they were untrue so as to dispell her ill feeling. Then the Bodhisattva thought, ""Without a doubt, I must depart for the wilderness. I will indicate this to her indirectly."" So he just hinted to Yashodhara about this.",,,,,9b.6-10a.6,,
1,18,2,གྲགས་འཛིན་མས་གསོལ་པ། ལྷ་ཁྱོད་གང་དུ་བཞུད་པ་དེར་བདག་བཀྲི་བར་གསོལ། བྱང་ཆུབ་སེམས་དཔས་ཞི་བའི་དབྱིངས་ལ་དགོངས་ནས་དེ་བཞིན་དུ་བྱའོ་ཞེས་ཞལ་གྱིས་བཞེས་ཏེ། དེ་ལྟར་ན་དགུང་ལོ་ཉི་ཤུ་རྩ་དགུ་ཁབ་ཏུ་བཞུགས་སོ།,"""Divine One, take me with you wherever you go!"" said Yashodhara. And as the Bodhisattva reflected upon the nature of tranquility, he promised her, ""I will do so."" All told, he had lived in the court for twenty-nine years.",,,,,10a.6-7,,
1,18,2,།དེ་ནས་བརྒྱ་བྱིན་དང་ཚངས་པ་ལ་སོགས་པ་ལྷ་རྣམས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའི་དགོངས་པ་ཡང་ཤེས། རབ་ཏུ་འབྱུང་བའི་དུས་ཀྱང་ཤེས་ནས་བཞེངས་སུ་གསོལ་བ་དང་།  ནགས་སུ་གཤེགས་པར་བསྐུལ་བ་ན།,"The gods such as Indra and Brahma knew the Bodhisattva's intentions. Realizing it was time for his renunciation, they asked him to rise up and urged him to depart for the wilderness.",,,,,10a.7-10b.2,,
1,18,2,བཀའ་སྩལ་པ།  ད་ལྟར་དམག་གི་ཚོགས་ཀྱིས་ཡོངས་སུ་བསྐོར་ཞིང་བསྲུངས་ན་ཇི་ལྟར་བགྱིད།,"""How can I,"" the Bodhisattva asked, ""when the army has surrounded the palace?""",,,,,10b.2-4,,
1,18,2,བརྒྱ་བྱིན་གྱིས་གསོལ་པ།  ཇི་ལྟར་ཁྱོད་ནི་གེགས་མེད་པར།  །དེ་ཉིད་ནགས་སུ་གཤེགས་འགྱུར་བ། །བདག་ཅག་ཚངས་སོགས་བཅས་པ་ཡི། །ལྷ་རྣམས་ཀྱིས་ནི་དེ་བཞིན་བགྱིད། །ཅེས་གསོལ་བས་བྱང་ཆུབ་སེམས་དཔའ་དགྱེས་ཏེ་བཞེངས་སོ།,"Indra replied,""You will be unhindered, As you journey to the wildnerness. Brahma, the other gods, and I, Will make the journey as well."" Delighted, the Bodhisattva rose.",,,,,10b.5-6,,
1,18,3,།དེ་ནས་བརྒྱ་བྱིན་གྱིས་སྐྱེ་བོ་རྣམས་གཉིད་ཀྱིས་མྱོས་པར་བྱས་ཤིང་།,Then Indra overpowered the people with sleep.,"ཟས་དཀར་ དམག་མི་རྣམས་གཉིད་[illegible]སོང་བ་","Shuklodana The guards slept [illegible].",,,10b.6,,
1,18,4,སྐས་ཆེན་པོ་མི་ལྔ་བརྒྱས་འཛུགས་དགོས་པ་དེ་གནོད་སྦྱིན་ལྔ་རྩེན་གྱིས་བཙུགས། བྱང་ཆུབ་སེམས་དཔའ་སྐས་དེ་ལས་བབས་ཏེ་ཤོད་ཀྱིས་གཞིར་ཕེབས།,The yaksha Panchika lifted up the giant ladder which had required five hundred men to move. The Bodhisattva descended the ladder and reached bottom. ,གནོད་སྦྱིན་ལྔ་རྩེན་,"Panchika",,,10b.6-7,,
1,18,4,མདུན་པ་གཉིད་དུ་སོང་བ་བསླངས་ཏེ།  རྟ་སྔགས་ལྡན་ལོངས་ཤིག ཁོ་བོ་ནི་ནགས་སུ་འགྲོའོ།,"He woke the sleeping Chandaka, and said ""Go get my horse Kanthaka. I am going to the wilderness!""",,,,,11a.1-2,,
