Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English (orange = English translation changed from existing),Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
2,20,1,ཉི་ཤུ་པ་ལམ་འཚོལ་བར་བསྟན་པ་ནི།,Chapter 20. Searching for the Path,,,Vol. Ca (5) pp.17-18.,,"Vinayavastu (Saṃghabhedavastu): vol. Nga, 15b.6-19a.2",,
2,20,1,དེ་ནས་གནས་དེར་ཅུང་ཟད་བཞུགས་ནས། བཀའ་སྩལ་པ། འདི་ནས་སེར་སྐྱ་ལ་ཇི་ཙམ། གསོལ་བ། དཔག་ཚད་བཅུ་གཉིས་སོ། །དེར་ཧ་ཅང་ཐག་ཉེ་དྲགས་སོ་སྙམ་དུ་དགོངས་ནས་,"The Bodhisattva stayed a little while in that place. Then he asked, ""How far it is to Kapilavastu?"" The sages replied, ""Twelve leagues."" ""That is too close,"" thought the Bodhisattva.",,,དེ་ནས་གྲོང་ཁྱེར་རྒྱལ་པོའི་ཁབ་ཀྱི་ཁང་བཟང་གི་རྩེ་མོ་ནས།  རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོས་ལྟ་བ་དང་། ལམ་སྲང་ན་བྱང་ཆུབ་སེམས་དཔའ་ཤིང་ལོ་ཙེམས་པའི་ལྷུང་བཟེད་བསྣམས་ཏེ་བསོད་སྙོམས་མཛད་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཤིང་དྲུང་དུ་བཞུགས་པའི་དྲུང་དུ། རྒྱལ་པོ་འཁོར་བཅས་བྱོན་ཏེ་ཞུ་བ་མཛད་པ་འབྲི།   ,"In Rājagṛha (rgyal po’i khab), from the palace, King Bimbisāra (gzugs can snying po) sees the Buddha begging for alms. The king then goes to a forest to visit the Buddha.  ",15b.6-7,,
2,20,1,ཆུ་བོ་གངྒ་བརྒལ་ཏེ་ལྗོངས་རྒྱུ་ཞིང་གཤེགས་པ་ནས་མཐར་གྱི་རྒྱལ་པོའི་ཁབ་ཏུ་བྱོན། ཤིང་ཀ་ར་བཱི་རིའི་ལོ་མ་ལ་ལྷུང་བཟེད་བྱས་ནས་གྲོང་ཁྱེར་དུ་བསོད་སྙོམས་ཀྱི་ཕྱིར་ཞུགས་སོ།,"Crossing the Ganges River, he travelled some distance and finally reached Rajagriha. He fashioned a begging bowl from oleander leaves and then entered the city to beg for alms.",,,,,"15b.7-16a.2",,
2,20,1,།དེ་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོས་ཁང་བཟང་གི་རྩེ་ནས་མཐོང་སྟེ། རྒྱལ་པོའི་ཁབ་འདིར་རབ་ཏུ་བྱུང་བ་ཇི་སྙེད་ཞིག་གནས་པ་ཡིན་ཡང་། འདི་ལྟ་བུའི་སྤྱོད་ལམ་མཛེས་པ་ནི། གཞན་འགའ་ཡང་མེད་དོ་སྙམ་ནས་ཆེད་དུ་བརྗོད་པ་ཡང་བྱས་ཤིང་། རི་དྲུང་གི་ཤིང་སྐྱ་སེང་ངམ་པ་ཊ་ལའི་སྡོང་པོའི་དྲུང་ན་བཞུགས་སོ།།,"King Bimbisara saw the Bodhisattva from the roof of his palace. He thought, ""Renunciates such as him have stayed in this city, but there has never been another with such fine conduct."" And then he praised him. The Bodhisattva came to rest beneith a white tree, or a Patala tree, at the base of a mountain.",,,,,16a.2-3,,This section is much more extensive in the Vinaya passage with Bimbasara waxing eloquent on the qualities of the Bodhisattva in a series of Ślokas (seven-syllable lines)
2,20,1,རྒྱལ་པོས་རྟོག་མཁན་གྱི་ཕོ་ཉ་དག་བཏང་སྟེ། དེར་བཞུགས་པར་ཤེས་ནས། རྒྱལ་པོ་འཁོར་དང་བཅས་པ་བྱང་ཆུབ་སེམས་དཔའི་དྲུང་དུ་བྱོན། དགའ་བ་དང་མགུ་བར་གྱུར་བའི་གཏམ་མཛད་ནས། རྒྱལ་པོ་ན་རེ། གཞོན་ནུ་ལང་ཚོ་དང་པོ་ལ་བསོད་སྙོམས་སྤྱོད་པ་མི་མཛེས་ཀྱི། བདག་གིས་འདོད་པའི་ཡོན་ཏན་ཐམས་ཅད་འབུལ་བར་བགྱི་སྟེ། ཉིད་ཀྱི་རིགས་རུས་སོགས་ཇི་ལྟར་ཡིན་དྲིས་པ་ན།,"The king dispatched his scouts and learned where he was staying. The king and his retinue came before the Boddhisattva. They exchanged words of kindness and respect. Then the King said, ""Begging alms is unbecoming for a young man in the prime of life. So I will offer you all you could desire. What is your caste? What is your family line?""",,,,,16b.3-6,,
2,20,1, བཀའ་སྩལ་པ། རྒྱལ་པོ་གངས་རི་ཉེ་བ་ན། ཡུལ་གྱི་ལྗོངས་ནི་འབྲུ་དག་དང་། །ནོར་རྣམས་ཀུན་གྱིས་གང་བ་ཡི། །ཀོ་ས་ལ་ཞེས་གྲགས་པ་ཡོད། །བུ་རམ་ཤིང་པ་ཉི་མའི་རུས། །ཤཱཀྱ་དག་ནི་དེ་ན་གནས། །རྒྱལ་པོ་ང་ནི་རྒྱལ་རིགས་ཏེ། །ང་ནི་འདོད་པ་དོན་མི་གཉེར། ཞེས་དང་། རྒྱལ་པོ་ང་ནི་བྱུང་མ་ཐག་ཏུ་ཡང་། །འདོད་པ་རྣམས་ལ་མི་དགའི་བློ་བསྐྱེད་ན། །འཇིགས་བྱེད་ཆོས་ཀྱི་དགྲ་བོར་གྱུར་པ་དག །བོར་བ་དེ་ཀོ་སླར་ཡང་ཇི་ལྟར་བླང་། ཞེས་སོགས་རྒྱ་ཆེར་གསུངས། གསོལ་པ།,"The Bodhisattva replied, ""King, near the snowy mountain ranges Lies a country full of good grain And all manner of wealth. It is known as Kosala. There dwell the Shakyas, The Ishvaku clan, race of the sun. King, I am of the royal caste. I do not chase my desires."" He continued, ""King, since I first entered the world I have felt disinterest toward desires. My enemies, worldly things, so terrifying— I have just them cast off. Why would I take them up again?"" Thus, he went on at length.",,,,,16b.6-17a.4,,"These next verses are taken nearly verbatim from the Vinaya passage—with some small modifications. Between these stanzas and the next, Taranatha elides two stanzas (4 lines of nine syllables) from the Vinaya passage that explain that the bounty and beauty of his homeland would just make ascetic practice difficult."
2,20,1,"གསོལ་པ། བརྟུལ་ཞུགས་འདིས་ཅི་ཞིག་བཞེད་ལགས། བཀའ་སྩལ་པ། རྫོགས་པའི་བྱང་ཆུབ་བོ། གསོལ་པ། གང་གི་ཚེ་ཁྱེད་གྱིས་དེ་ཐོབ་ན་བདག་ལ་དགོངས་ཤིག བཀའ་སྩལ་པ། དེ་བཞིན་དུ་བསམ་པར་བྱའོ།","""What will you gain with this ascetic practice?"" asked the king. ""Perfect enlightenment,"" he replied. The king requested, ""When you attain this, please think of me.""""I shall think of you,"" the Bodhisattva said.",,,,,17a.4-6,,
2,20,1,།དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་བྱ་རྒོད་ཕུང་པོའི་རི་དང་ཉེ་བའི་དྲང་སྲོང་སྣ་ཚོགས་པའི་བསྟི་གནས་སུ་གཤེགས་ཏེ།,"Then the Bodhisattva travelled to the retreat center of several sages, located near Mount Vulture Heap.",བྱ་རྒོད་ཕུང་པོའི་རི་,Mt. Vulture Heap,,,17a.5-6,,
2,20,2,དྲང་སྲོང་རྣམས་མེ་ལྔས་གདུང་བ་དང་། རྐང་པ་ཡ་གཅིག་འགྲེང་བ་སོགས་,"The sages were enduring the trail of the five fives, standing on one leg, and other ascetic practices.","མེ་ལྔ་བརྡུང་བ་ དུ་བ་འཐུལ་བ་ ཆུ་ལ་སྐྱལ་བ་ དྲང་སྲོང་སྣ་ཚོགས་པའི་བསྟི་གནས་","Torture of the five fires. Diffusing smoke. Swimming. Dwelling place of various sages.",དེ་དང་ཉེ་བའི་ནགས་གཅིག་ཏུ། དྲང་སྲོང་ལ་ལ་རྐང་པ་ཡ་གཅིག་འབྲེང་བ་དང་། ལ་ལ་མེ་ལྔ་གདུང་བ་དང་། ལ་ལ་ཆུ་ལ་ཞུགས་བ་དང་།  ལ་ལ་དུ་བ་འཐུང་བ་ལ་སོགས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཡང་དཀའ་ཐུབ་དེ་གཉིས་ལྡབས་སུ་མཛད་པ་འབྲི། ,"The Buddha visits sages performing ascetic practices such as standing on a single leg, fire torment, walking on the water, and swallowing smoke and so forth in a forest. The Buddha also performs two of these practices.",17a.6-7,,
2,20,3,དཀའ་ཐུབ་ཇི་ཙམ་སྤྱོད་པ་དེ་བྱང་ཆུབ་སེམས་དཔས་ཉིས་འགྱུར་ཉིས་འགྱུར་དུ་སྤྱད་དེ། དྲང་སྲོང་ཆེན་པོ་དང་།  དགེ་སྦྱོང་ཆེན་པོ་ཞེས་མཚན་དུ་གྲགས་སོ། ,"However much ascetic practice the sages performed, the Bodhisattva did twice as much. They named him Great Sage and Great Ascetic.",སྟོན་པས་ཀྱང་དེ་རྣམས་ཀྱི་སྤྱོད་པ་ཉིས་བསྒྱུར་མཛད་པ་,The teacher imitates their actions.,,,17a.7-b.1,,
