Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene Working Notes
2,24,1,ཉེར་བཞི་པ་བདུད་བཏུལ་བ་ནི།,Chapter 24. Subduing Mara,,,Vol. Ja (7) p. 19.,,"Vinayavastu (Saṃghabhedavastu): vol. Nga, 29a.6-31b.5",,
2,24,1,དེའང་བདུད་སྡིག་ཅན་ལ་རྒྱལ་མཚན་གཉིས་ཡོད་དེ། དགའ་བའི་གནས་དང་དོགས་པའི་གནས་སོ།,"Now, Wicked Mara possessed two victory banners, one standing for desire, one standing fore doubt.",,,བྱང་ཆུབ་ཀྱི་ཤིང་གི་དྲུང་དུ་རྩ་བཏང་བའི་སྟེང་དུ་བཞུགས་པ་མཉམ་བཞག་མཛད་པ་ལ། བདུད་ཀྱི་སྤྲུལ་པའི་ཕོ་ཉ་བདུན་འོང་བ་དང་། ཡང་དེ་དང་ཉེ་བར། བདུད་འདུལ་གྱི་བཀོད་པ་སྤྱི་དང་འདྲ་བ་འབྲི་བ་ལས། རིན་པོ་ཆེའི་བཞུགས་ཁྲི་མི་དགོས། ཡང་བྱང་ཆུབ་ཤིང་གཅིག་གི་རྩ་བ་ན། བཞུགས་ཚུལ་མཉམ་བཞག་མཛད་པ་ལ། ཤིང་གི་ཡལ་ག་ཆེ་ལ་དཀར་བ་ལོ་མ་རྣམས་ལྷ་མང་པོས་འཛིན་པ་འབྲི། །  །མངོན་བྱུང་དང་།  འདུལ་བའི་ལུགས་ལ།  སླུ་བྲིད་སྟོན་པའི་བདུད་ཀྱི་བུ་མོ་གསུམ་ཁོ་ན་འབྲི་སྟེ།  བདུད་བཏུལ་པའི་སྐོར་རོ། །,"While sitting in equanimity under the Bodhi Tree (byang chub kyi shing), he is visited upon by seven messengers who are apparitions created by the demon. The scene of the Buddha taming the demon should be drawn as in the mainstream, hence there is no need to draw a throne.  In another scene, the Buddha sits in equanimity under a Bodhi Tree. The tree has big white branches with leaves held up by gods. According to the traditions of history (sngon 'byung) and Vinaya (‘dul ba), the only scene to be drawn here is three daughters of the demon trying to seduce the Buddha.",29a.6,,
2,24,1,།དེ་ལས་སྐབས་འདིར་དོགས་པའི་རྒྱལ་མཚན་གཡོས་པས། བདུད་ཀྱིས་བརྟགས་པ་ན། བྱང་ཆུབ་སེམས་དཔའ་རྡོ་རྗེའི་གདན་ལ་བཞུགས་པར་མཐོང་ནས། བར་ཆད་བྱ་བའི་ཕྱིར་སྐྲ་འཛིངས་ཤིང་ཤ་ནའི་གོས་ཀྱིས་སྨད་གཡོགས་པའི་འཕྲིན་པ་ཞིག་སྤྲུལ་ནས་རིངས་རིངས་སྐད་དུ་གྲོང་ཁྱེར་སེར་སྐྱ་ནི་ལྷས་བྱིན་གྱིས་མནན། ཕོ་བྲང་ནི་བཅོམ། ཤཱཀྱ་རྣམས་ནི་ཁ་བཏགས་ན། ཁྱོད་ཅིའི་ཕྱིར་གནས་བཏབ་སྟེ་འདུག་ཅེས་སྨྲའོ།,"Then the banner of doubt fluttered. Mara investigated, and saw that the Bodhisattva had sat upon the Indestructable Throne. In order to obstruct the Bodhisattva, he appeared as a messanger with long matted hair and a coarse robe around his waist. In an urgent voice he said, ""Devadatta has conquered Kapilavastu! You palace is destroyed! The Shakyas have been slain! Why do you remain on that seat?""",,,,,29a.6-29b.2,,
2,24,1,།དེར་ཐུགས་ལ་འདོད་པ་ལ་འདུན་པ་དང་གནོད་སེམས་དང་རྣམ་པར་འཚེ་བ་སྟེ་མི་དགེ་བའི་རྣམ་པར་རྟོག་པ་གསུམ་སྐྱེས་ན། དེ་བདུད་ཀྱི་དཀྲུགས་མར་མཁྱེན་ནས་དགེ་བའི་རྟོག་པ་གསུམ་གྱིས་ཟིལ་གྱིས་མནན་ནོ།,"But the Bodhisattva knew that Mara would disrupt him by stirring up the three non-virtuous attitudes of desire for sense pleasures, harmful intent, and malice.",,,,,29b.2-5,,
2,24,1,།དེ་ནས་བདུད་ཉིད་འོངས་ཏེ། ཁྱེད་ཀྱིས་བླ་ན་མེད་པའི་ཡེ་ཤེས་ག་ལ་ཐོབ། ཅེས་ཟེར།,"Then Mara appeared as himself and said, ""How will you you attain unsurpassed wisdom?""",,,,,29b.5-6,,
2,24,1,བཀའ་སྩལ་པ། སྡིག་ཅན་ཁྱོད་ཀྱིས་མཆོད་སྤྱིན་གཅིག་བྱས་པས་ཀྱང་འདོད་ཁམས་ཀྱི་དབང་ཕྱུག་ཏུ་གྱུར་ན། ངས་བསྐལ་པ་གྲངས་མེད་གསུམ་དུ་མཆོད་སྦྱིན་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དུ་མ་བྱས། སེམས་ཅན་རྣམས་ཀྱི་ཕྱིར་མགོ་དང་ལག་པ་ནས། དབྱིག་དང་གསེར་ལ་སོགས་པའི་བར་དུ་ཐམས་ཅད་ཡོངས་སུ་བཏང་ན། བླ་ན་མེད་པའི་ཡེ་ཤེས་ཐོབ་པར་མི་འགྱུར་རེ་ཀན།,"""Wicked One, because you undertook a single offering, you became the ruler of the Desire Realm,"" said the Bodhisattva. ""Over three incalculable eons I performed billions upon billions of offerings. I have given away everything, from gold and jewels to my own hands and head, for the benefit of sentient beings. So there is no doubt that I will attain unsurpassed wisdom.""",,,,,29b.6-30a.1,,
2,24,1,བདུད་ཀྱིས་སྨྲས་པ། རེ་ཞིག་ངས་དེ་ལྟར་བྱས་པའི་དཔང་པོ་ནི་ཁྱོད་ཡིན་ལ། ཁྱོད་ཀྱི་དེ་ལ་དཔང་པོ་སུ་ཞིག་ཡོད།,"""You have just borne witness that I have performed this offering,"" said Mara. ""Who will be witness to your offerings?“",,,,,30a.1-3,,
2,24,1,དེ་ནས་བྱང་ཆུབ་སེམས་དཔའི་ཕྱག་གཡས་པ་བསོད་ནམས་བརྒྱ་ཕྲག་དུ་མས་བསྐྱེད་པ་ས་ལ་རེག་པར་མཛད་དེ། ངའི་དཔང་པོ་ནི་ས་འདི་ཡིན་ནོ།,"Then the Bodhisattva touched the ground with his right hand, the hand created through many hundreds of meritorious deeds, and the said, ""The Earth is my witness.""",,,,,30a.3-5,,
2,24,2,།དེ་ནས་སའི་ལྷ་མོ་ས་བརྟོལ་ཏེ་བྱུང་ནས་ཐལ་མོ་སྦྱར་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་ཇི་སྐད་བཀའ་སྩལ་པ་དེ་བཞིན་ནོ་ཞེས་སྨྲས་པ་དང་།,"At that moment the Earth goddess, Prithvidevi emerged the Earth and with her palms joined, said, “It is just as the Blessed One has said.”",ས་ལྷ་,Earth goddess,,,30a.5-6,,
2,24,2,བདུད་སྡིག་ཅན་བག་འཁུམས་ཤིང་སེམས་ཁོང་དུ་ཆུད་ནས་སོང་ངོ་།,"Thoroughly cowed by this, Wicked Mara went away.",,,,,30a.6,,
