Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual (བྲིས་ཡིག།) - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
2,26,1,ཉེར་དྲུག་པ་ནགས་ཁྲོད་དུ་དལ་བར་བཞུགས་པ་,Chapter 26. Living in the Wilderness,,,Vol. Nya (8) pp. 19-20.,,"Vinayavastu (Saṃghabhedavastu): vol. Nga, 35a.1-39a.5",,
2,26,1,"དེ་ནས་བདུན་ཕྲག་གཉིས་པ་ལ་བབ་པ་ན་ཚངས་རིས་ཀྱི་ལྷ་གཉིས་ཤིག་འོངས་ནས། གཅིག་གིས།
དེད་དཔོན་གཡུལ་ལས་རྣམ་པར་རྒྱལ་བ་པོ། །སྡིག་པ་མི་མངའ་བཞེངས་ཤིག་འཇིག་རྟེན་གཟིགས། །རིན་ཆེན་ཆོས་ནི་འཚལ་བར་འགྱུར་མཆིས་ཀྱི། །བདེ་གཤེགས་ཆོས་ཀྱི་མཆོག་འདི་བཤད་དུ་གསོལ། །ཅིག་ཤོས་ཀྱིས་ཀྱང་དེ་དང་རྗེས་སུ་མཐུན་པར་བསྟོད་དོ།","Then in the second week two gods from Brahma’s heaven arrived. One said, 
""Captain, victor of the battle,
look upon the world, make it without sin. 
People will seek the precious dharma.  
Please explain this supreme dharma of those gone to bliss.""

The other praised him in the same way.",ལྷ་རྣམས་ཀྱིས་བསྟོད་པ་,The gods praise,སྐུའི་གཡས་གཡོན་གཉིས་ནས་ཚངས་རིས་ཀྱི་ལྷ་རེ་རེའི་བསྟོད་པ་བྱེད་པ་འབྲི། ,"Draw him with gods to his left and right, each offering praise.",35a.2-3,,
2,26,1,དེ་ནས་བཅོམ་ལྡན་འདས་སྔར་གྱི་ཏིང་ངེ་འཛིན་དེ་ལས་བཞེངས་ཏེ། །ཞི་བའི་བདེ་བ་ལ་ཆེད་དུ་བརྗོད་པ་མཛད་ནས་རྣམ་པར་གྲོལ་བའི་དགའ་བདེ་སྐུ་ཉམས་སུ་བསྟར་ཞིང་ཞག་བདུན་ཕྲག་གཉིས་པར་ཡང་སྐྱིལ་ཀྲུང་མ་ཞིག་པར་བཞུགས་སོ།,"Then the Lord rose from his previous contemplative absorption. He spoke about the bliss of peace. He experienced the joyful bliss of liberation physically, and during the second week he remained in cross-legged vajra posture without rising.",,,,,35a.4-7,,
2,26,2,།དེ་ནས་ཞག་བདུན་ཕྲག་གསུམ་པ་ལ་བབ་པ་ན། ཚོང་དཔོན་ག་གོན་དང་བཟང་པོ་ཞེས་བྱ་བ་གཉིས་ཤིང་རྟ་ལྔ་བརྒྱ་ཙམ་དང་ལྷན་ཅིག་རྡོ་རྗེའི་གདན་དང་ཉེ་བའི་ལམ་ནས་འགྲོ་བ་ལས།,Then in the third week the merchants Trapusha and Bhalika arrived on the road from Vajrasana with some five hundred horse carts.,ག་གོན་དང་བཟང་པོ་,Trapuṣa and Bhalika,,,35a.7,,
2,26,3,ཚོང་དཔོན་དེ་དག་ཉིད་ཀྱི་གྲོགས་པོ་ཤི་ནས་ལྷར་སྐྱེས་པ་དག་གིས་དེ་གཉིས་ལ་ལུང་བསྟན་ཞིང་བསྐུལ་ནས། ཚོང་དཔོན་དེ་གཉིས་བཅོམ་ལྡན་འདས་ཀྱི་དྲུང་དུ་སོང་སྟེ། སྤྲང་རྩི་དང་ལྡེ་གུ་དག་འབུལ་གྱི་བཞེས་སུ་གསོལ་ཞེས་ཞུས་སོ།,"One of their friends had died and had been reborn, and he gave a prophecy to them and encouraged them, so the two merchants went before the Blessed One and offered him honey and sweet porridge.",ལྷས་ལུང་བསྟན་པ་,The gods make a prophecy,,,35a.7,,
2,26,3,།དེ་ནས་དགོངས་པས་སྔོན་གྱི་སངས་རྒྱས་རྣམས་ཀྱང་ལྷུང་བཟེད་ཀྱི་སྣོད་དུ་བསོད་སྙོམས་བཞེས་ཀྱི། མུ་སྟེགས་བྱེད་བཞིན་དུ་སྙིམ་པ་དང་སློང་ཕོར་དུ་མ་ཡིན་ནོ།,"The Buddha knew that the past Buddhas had accepted offerings in an begging bowl, and not in the hands or on a platter as the heretics did.",,,,,36a.3-4,,
2,26,4,།དེའི་ཚེ་འཇིག་རྟེན་སྐྱོང་བ་བཞི་པོས་དེ་རིག་ནས་རྡོ་ལས་བྱས་པའི་ལྷུང་བཟེད་མི་མ་ཡིན་གྱིས་བཅོས་པ་གསལ་ཞིང་གཙང་བ་དྲི་མ་མེད་པ་རེ་རེ་ཐོགས་ནས་སྟོན་པ་ལ་ཕུལ་ལོ།,"At this moment the four world protectors knew of this. They each offered to the Teacher a stone bowl made by non-humans that was bright, pure, and without flaws.",རྒྱལ་ཆེན་བཞིའི་ལྷུང་བཟེད་ཕུལ་བ་,Four great kings offer begging bowls,དེ་ནས་རྒྱལ་ཆེན་བཞིས་རྡོའི་ལྷུང་བཟེད་ཕུལ་བ་དང་། ,Then draw the four great kings offering a stone bowl.,36a.4-7,,
2,26,4,།དེའི་ཚེ་གཅིག་ཁོ་ན་ལས་བཞེས་ན་གསུམ་མི་དགའ་བར་འགྱུར་ལ། གཉིས་ལས་ནི་གཉིས་དང་། གསུམ་ལས་ནི་གཅིག་མི་དགའ་བར་མཁྱེན་ནས་བཞི་ཆར་བཞེས་ཏེ་དེ་རྣམས་ལྷུང་བཟེད་གཅིག་ཏུ་འགྱུར་བར་བྱིན་གྱིས་བརླབས་སོ།,"Then, the Buddha knew that if he took a bowl from only one World protector, the other three would be displeased. And if he took them from two, two would be displeased, and if from three, one would be unhappy. So he accepted from all four and he magically turned them into a single bowl.",,,,,36b.1-2,,
2,26,5,།དེ་ནས་ལྷུང་བཟེད་དེར་ཚོང་དཔོན་ག་གོན་དང་བཟང་པོས་བསོད་སྙོམས་ཕུལ་བ་དག་བཞེས་ཏེ།,Then in that bowl he accepted the offerings made by the merchants Trapusha and Bhallika.,ཚོང་དཔོན་ག་གོན་དང་བཟང་པོས་སྦྲང་རྩེ་ལྡེ་གུ་ཕུལ་བ་,Merchant Trapuṣa and Balika offer honey and porridge,ཚོང་དཔོན་ག་གོན་དང་བཟང་པོ་ལ་ལྷས་ལུང་བསྟན་ནས་བསོད་སྙོམས་ཕུལ་ཞིང་།,and [draw] the merchants Trapusha and Bhallika offering alms after the gods give a prophecy to them. ,36b.2-3,,
2,26,5,དེ་གཉིས་སྐྱབས་སུ་འགྲོ་བ་ལ་བཀོད། སྦྱིན་པ་ལ་རྗེས་སུ་ཡི་རང་བའི་ཆོས་བསྟན་ཏོ།,He gave them refuge. He taught them the dharma of rejoicing in giving.,,, སངས་རྒྱས་ཀྱི་ཆོས་གསུང་པ་དང་། ,"[Draw] the Buddha's teaching of the dharma, ",36b.3-6,,
