Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,,,,,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
A,18,,བཅོ་བརྒྱད་པ་ཁྱིམ་ནས་མངོན་པར་བྱུང་བ་ནི།,Chapter 18: The Bodhisattva leaves home,,,,,"Vinayavastu (Saṃghabhedavastu): vol. Nga, 9a.3-13a.5",,,"<svg xmlns='http://www.w3.org/2000/svg'><g><path xmlns='http://www.w3.org/2000/svg' d='M22358,2208.7c3.3,80,22,24,23.3,15.3c6.7-53.3,22-108.7,62-111.3c45.3-2.7,88.7,60,113.3,88.7c24.7,28.7,51.3,86.7,71.3,86.7s40-20,42-48.7c2-28.7,26.7-86.7,11.3-102c-15.3-15.3-27.3-45.3-53.3-48.7c-35.3-4.7-20.7,18.7-86.7,0c-71.3-20-122-73.3-113.3-135.3c8.7-62,40-110,66.7-122c62-28.7,118-24,151.3-31.3c42-8.7,84.7,6.7,86.7-20s-42-42-35.3-80s48.7-124.7,71.3-153.3c22-28.7,90-116,135.3-118c58-2,133.3,71.3,135.3,100c2,28.7,22,82,53.3,86.7c31.3,4.7,88.7,20,104.7,48.7c15.3,28.7,26.7,58,26.7,78s-26.7,80-8.7,86.7c18,6.7,71.3-18,91.3-2s19.3,33.3,53.3,33.3c53.3,0,66.7,44.7,95.3,55.3c28.7,11.3,38-6.7,53.3,26.7c15.3,33.3,18,53.3,13.3,68.7c-4.7,15.3,0,40,0,62s-18,62-35.3,73.3s-118,44.7-142,48.7c-24.7,4.7-109.3,18-93.3,40c18,24.7,75.3,104.7,155.3,142c80,38,166.7,75.3,195.3,80c28.7,4.7,51.3,2,44.7-8.7c-6.7-11.3-26.7-38,8.7-46.7c35.3-8.7,48.7-2,84.7,13.3c35.3,15.3,66.7,13.3,73.3,26.7s42,48.7,15.3,64.7s-73.3,0-91.3,11.3c-18,11.3-73.3,8.7-84.7,13.3c-11.3,4.7-22-2-22-2l2,48.7l-73.3,2l8.7,100l42,18c0,0,15.3-38,55.3-33.3c20.7,2,28.7,44.7,28.7,64.7s-11.3,173.3-11.3,173.3s-518,0-600,0c-82,0-598,6.7-598,6.7l-0.7,0c-84.7,209.3-248,614.7-248,624.7c0,13.3-128.7,373.3-142,408.7c-13.3,35.3-111.3,213.3-111.3,213.3s1284.7,58,1488.7,58s893.3,4.7,893.3,4.7s26.7,71.3,75.3,71.3c48.7,0,284.7-4.7,284.7-4.7s8.7-560,31.3-568.7c22-8.7,80-13.3,80-13.3V3666.7l-44.7-8.7l66.7-142l528.7,13.3c0,0,18,44.7,35.3,58c18,13.3,35.3,40,35.3,40l-31.3,44.7l-26.7,84.7l1075.3,288.7l58,471.3l-542,378l53.3,368.7l-150.7,98c-46.7,6.7-88,60-136,84c-53.3,26.7-182,128.7-213.3,133.3c-31.3,4.7-8.7-48.7-8.7-48.7s-22-133.3-26.7-151.3c-4.7-18-75.3-62-124.7-75.3s-40-44.7-66.7-53.3c-26.7-8.7-124.7-93.3-186.7-106.7s-71.3,40-106.7,88.7c-35.3,48.7-102,93.3-160,120s-75.3,113.3-80,144.7c-4.7,31.3-128.7,11.3-178,11.3c0,0-1811.3-62-1891.3-66.7s-466.7-31.3-466.7-31.3s106.7,80,106.7,111.3s0,84.7,0,84.7l-818-35.3l-8.7-80c0,0,48.7-44.7,44.7-58c-4.7-13.3-22-22-22-22l-226.7-44.7l-106.7-58l-328.7-178l-18-502l631.3-444.7l-698-644.7l302-151.3v-71.3l-168.7-22c0,0,93.3-18,133.3-62c40-44.7,40-44.7,40-44.7l578,4.7l138,155.3l77.3,4c0,0.7,0,1.3,0,2c5.3-34,20-72.7,36.7-79.3c22-8.7,42,42,60,18c22.7-31.3,8.7-82,35.3-104.7s4.7,4.7,26.7-22c22-26.7,80-26.7,102-58c12.7-18,68-152.7,112-261.3l6-16.7l-331.3,122c0,0-13.3-124.7,0-155.3c13.3-31.3,58-60,78-88.7s8.7-62,55.3-88.7c21.3-12,46.7-22,55.3-31.3c8.7-8.7,40-33.3,35.3-64.7c-2-14.7-44.7-33.3-38-51.3c6.7-18,35.3-51.3,55.3-55.3c20-4.7,73.3-22,82-35.3c2-2.7,38.7-28-13.3-31.3c-4.7,0-71.3,14.7-113.3-34.7c-44.7-51.3-32-108-22-128.7c10-21.3,18-33.3,13.3-40c-4.7-6.7-53.3,1.3-78-5.3c-20.7-6-51.3-28.7-64.7-63.3s-6.7-93.3,3.3-108.7c10-15.3,13.3-38-3.3-33.3c0,0-53.3,18.7-94.7-14.7c-38.7-31.3-53.3-68-43.3-113.3c5.3-25.3,25.3-43.3,12-48.7c-13.3-5.3-58.7,0-74.7-11.3s-55.3-33.3-63.3-78.7c-8-45.3,12-104.7,56.7-126.7c41.3-20.7,102-17.3,128.7,18.7c25.3,34.7,40,65.3,34.7,91.3c-5.3,25.3-32,60-16.7,63.3s45.3-6.7,72,8.7s62.7,38.7,65.3,93.3c2,41.3-18.7,74.7-23.3,85.3c-4.7,11.3,2,22,20,18.7c18-3.3,58-8.7,85.3,11.3c28,20,51.3,58,48.7,88c-2,30-13.3,70-18.7,82c-5.3,12,13.3,14.7,30,8s52-5.3,85.3,16.7s50,43.3,51.3,78' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/><path xmlns='http://www.w3.org/2000/svg' d='M24067.3,3083.3c0,0-15.3,38.7-70.7-8c-56-47.3-168.7-186.7-168.7-186.7s8.7-71.3,44.7-80c35.3-8.7,77.3,18,98-8.7c30.7-40,56.7-82,78.7-113.3s68-78.7,103.3-118.7c36-40.7,58-46,94.7-36.7c45.3,12,74,46,92,77.3c18,31.3,53.3,111.3,75.3,128.7c22,18,40-8.7,44.7-44.7s12-78,12-100s6-62,41.3-80s80,6.7,93.3,20s53.3,61.3,68,86.7c12,20.7,38.7,64.7,65.3,104.7s48.7,93.3,26.7,115.3s-106.7,71.3-106.7,102c0,31.3,106.7,56.7,120,101.3s-4,88.7-14.7,114.7c-16.7,40-47.3,50.7-69.3,59.3c-22,8.7-190.7,7.3-231.3,13.3c-33.3,5.3-146.7,0-182,4.7c-35.3,4.7-71.3,8.7-98-4.7s-40-53.3-40-53.3s82.7-8,111.3-42c36-44-0.7-68.7-60.7-82c-51.3-11.3-117.3,4.7-121.3,22L24067.3,3083.3z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/><path xmlns='http://www.w3.org/2000/svg' d='M26316.7,2353.3l24.7-31.3c29.3-44,8.7-24.7,68.7-42c31.3-8.7,40-24.7,40-38s-26.7-102-8.7-128.7c18-26.7,35.3-44.7,48.7-71.3s40-31.3,62-44.7s58-31.3,71.3-44.7s35.3-62,71.3-71.3c18-4.7,48.7-4.7,44.7-26.7c-4.7-22-26.7-40-26.7-75.3s75.3-80,48.7-111.3c-26.7-31.3-40-33.3-75.3-28.7s-122,8.7-122,8.7s-11.3,84.7-64.7,93.3c-53.3,8.7-75.3-6.7-106.7,6.7s-128.7,0-182-26.7c-53.3-26.7-75.3-84.7-93.3-106.7c-18-22,2-64.7-15.3-144.7c0,0-11.3-55.3-68.7-68.7s-168.7-62-168.7-93.3c0-31.3,40-66.7,4.7-98c-35.3-31.3-115.3-75.3-102-93.3c13.3-18,102-22,151.3,8.7c48.7,31.3,71.3,48.7,71.3,71.3c0,22,0,75.3,31.3,71.3c31.3-4.7,75.3,0,111.3,26.7c35.3,26.7,71.3,88.7,98,84.7s35.3-35.3,66.7-44.7c31.3-8.7,88.7-8.7,111.3-22s31.3-18-31.3-48.7c-62-31.3-115.3-58-111.3-84.7c4.7-26.7,8.7-35.3,22-75.3s4.7-44.7,26.7-71.3s53.3-31.3,66.7-66.7s8.7-75.3,40-106.7c31.3-31.3,62-58,98-75.3c35.3-18,80-13.3,111.3-4.7c31.3,8.7,44.7,35.3,84.7,26.7s84.7-18,120-35.3c35.3-18,80-40,124.7-26.7c44.7,13.3,120,31.3,142,44.7s84.7,8.7,128.7,13.3c44.7,4.7,62,40,93.3,53.3c31.3,13.3,31.3,40,88.7,40c58,0,98,18,102,53.3c4.7,35.3,35.3,62,44.7,84.7c8.7,22,8.7,88.7,0,120c-8.7,31.3-8.7,62-26.7,88.7c-18,26.7-66.7,102-40,120c26.7,18,71.3-31.3,71.3-31.3s40-31.3,71.3-44.7s115.3-22,142,0s84.7,18,111.3,48.7c26.7,31.3,40,53.3,93.3,80s111.3,44.7,133.3,84.7s18,58,18,106.7s-26.7,98-22,115.3c4.7,18,80,48.7,88.7,106.7c8.7,58-40,115.3-44.7,133.3c-4.7,18-26.7,66.7-44.7,75.3c-18,8.7-71.3,44.7-88.7,44.7s-58-22-62,35.3c-4.7,58-22,124.7-35.3,133.3c-13.3,8.7-20,75.3-73.3,75.3s-51.3,4.7-104.7-4.7c-53.3-8.7-58,26.7-80,48.7c-22,22-40,31.3-62,53.3c-22,22-62,75.3-84.7,93.3c-22,18-88.7,66.7-133.3,66.7c-44.7,0-75.3-18-93.3-8.7c-18,8.7-62,58-128.7,40c-66.7-18-124.7-22-146.7-13.3c-22,8.7-128.7,22-168.7,4.7s-88.7,22-115.3,22s-138,13.3-160,4.7c-22-8.7-93.3,35.3-142,31.3c-48.7-4.7-151.3-2-182-46.7c-31.3-44.7-84.7-108.7-138-60c-53.3,48.7-31.3,93.3-62,133.3s-62,71.3-106.7,84.7s-98,22-88.7,62c8.7,40,8.7,142-18,182s-44.7,102-80,124.7c-35.3,22-151.3,102-164.7,111.3c-13.3,8.7-40-31.3-18-48.7c22-18,120-71.3,151.3-164.7c31.3-93.3,4.7-164.7,40-235.3c35.3-71.3,58-98,115.3-142c58-44.7,71.3-62,98-128.7s35.3-111.3,120-128.7C26179.3,2388.7,26263.3,2424.7,26316.7,2353.3z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></g></svg>"
A,18,,དེ་ནས་བྱང་ཆུབ་སེམས་དཔས་གསུངས་པ།,The Bodhisattva made the following pledge:,,,,,9a.3,,
A,18,,བདག་དང་བུད་མེད་ཁྱིམ་ཉལ་བའི།  །ཐ་མ་དེང་གི་འདི་ཡིན་ཏེ།,"""Tonight is the last night that I spend in a house with a woman.",,,,,9a.3-4,,
A,18,,།ཕྱིན་ཆད་ཁྱིམ་དུ་བུད་མེད་དང་། །ང་ནི་ལྷན་ཅིག་མི་གནས་སོ།,"Henceforth, I never again stay with a woman in a house.""",,,,,9a.4,,
A,18,,།དེ་ནས་བུད་མེད་རྣམས་གླུ་གར་དང་རོལ་མོས་དུབ་སྟེ་གཉིད་དུ་སོང་།,"Tired of making music and dancing, the women had fallen asleep.",,,,,9a.4-5,,
A,18,,སྐྲ་ཡང་ཞིག  སྒྲེན་མོར་ཕྱུང་བ་དང་།,"They lay sprawled, some stark naked and disheveled",,,,,9a.4-6,,
A,18,,ཁ་ཆུ་འཛག་ཅིང་སླ་ཅོལ་དུ་སྨྲ་བ་སོགས་,"others with spittle formed on their lips, murmuring some gibberish.",,,,,9a.4-5,,
A,18,,གཟིགས་པས་དེ་ཐམས་ཅད་ལ་མི་སྡུག་པའི་འདུ་ཤེས་རྙེད་དོ།,"Seeing them in this state, the prince found them all ugly.",,,,,9a.5-6,,
A,18,,།སྐབས་དེར་སྐྱེ་རྒུའི་བདག་མོ་ལ་ཟླ་བ་གཟས་ཟིན་པ་དང་།,"Meanwhile, Siddhartha's foster mother, Maha-prajapati (Skye dgu'i bdag mo), dreamt that an eclipse swallowed up the moon,",,,,,9b.1-2,,
A,18,,ཉི་མ་ཤར་ནས་ཤར་དུ་ནུབ་པ་དང་།,"that the sun rose and set in the east,",,,,,9b.2,,
