Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
A,7,,བདུན་པ་གྲོང་ཁྱེར་སེར་སྐྱར་གཤེགས་པ་ནི།,"Chapter 7: Entering Kapilavastu",,,Vol. Ka (1) p. 12.,,"Vinayavastu (Saṃghabhedavastu): vol. 3(Ga), 282a.1-284b.4",,
A,7,1,གནོད་སྦྱིན་ཤཱཀྱ་འཕེལ་ཞེས་བྱ་བ་སེར་སྐྱ་ན་གནས་པ།  ཤྭཀྱ་རྣམས་ཀྱི་རིགས་ལྷ་རུ་མཆོད་པ་ཞིག་ཡོད་པ།,The yaksa Shakya-shri (Shakya dpal) dwelt in Kapilavastu and the Shakyas honored him as the guardian of their clan.,,,ཁང་བཟང་གཞན་གཅིག་ཏུ་རྒྱལ་པོ་ཟས་གཙང་མ་ལ་རྒྱལ་ཕྲན་མང་པོས་ཕྱག་འབུལ་ཞིང་འབུལ་བ་བྱེད་པ། ཡང་ཁང་བཟང་གཅིག་ན་འཁོར་མང་པོ་ཅན་ཡབ་ཀྱིས་པང་ན། བྱང་ཆུབ་སེམས་པ་ཁྱེའུའི་གཟུགས་ཀྱི་བཞུགས་པ་ལ། མདུན་དུ་བྲམ་ཟེ་མང་པོ་འབྲི། དེ་ནས་ལམ་དུ་ཤིང་རྟའི་སྟེང་དུ་རྒྱལ་པོ་བཞུགས་པ་ལ་འཁོར་མང་པོས་སྐོར་བ་དང་། ཁྱོགས་བྱམས་ཁྲི་སྐྱེ་བོ་མང་པོས་བཏེགས་པའི་དབུས་ན་བྱང་ཆུབ་སེམས་དཔའ་མ་མ་རྣམས་དང་བཅས་བཞུགས་པ་ལ། ལྷ་ཁང་ཞིག་ན་གནོད་སྦྱིན་ལུས་ལ་ཁྲ་གྱོན་པ་ཞིག་འོང་ནས་བྱང་ཆུབ་སེམས་དཔའ་ལ་ཕྱག་འབུལ་བ།,"In a mansion, there is the king along with a retinue. The Buddha takes the form of a boy on the king's lap.  There are brahmins before the king. The king is in a carriage on the road, surrounded by a large retinue. A palanquin with the Buddha and his nanny on it is held up by a large crowd. In a temple, a yakṣa wearing an armor prostrates the Buddha.",282a.1-2,,
A,7,1,ཤྭཀྱའི་བུ་བུ་མོ་གང་སྐྱེས་ཀྱང་དང་པོར་དེ་ལ་ཕྱག་འཚལ་བའི་སྲོལ་ཡོད་པས། རྒྱལ་པོས་ཀྱང་དེ་བཞིན་དུ་བྱེད་པར་བརྩམས་ཏེ།,"Since custom dictated that the first duty of a Shakya newborn baby, girl or boy, was to pay homage to this local deity, King Shuddhodana made preparations for that rite.",,,,,282a.2-4,,
A,7,1,གཞོན་ནུ་བྱང་ཆུབ་སེམས་དཔའ་རིན་པོ་ཆེ་སྣ་བཞིའི་ཁྱོགས་ལ་སྤྱན་དྲངས།,"He sent off a carved wooden palanquin, studded with the four kinds of most precious stones, to fetch the Bodhisattva",,,,,282a.3,,
A,7,1,རྒྱལ་པོ་དང་བློན་པོ་སོགས་འཁོར་ཚོགས་དུ་མ་དང་བཅས་ནས་སེར་སྐྱ་གཞིའི་གནས་སུ་ཞུགས་སོ།,"and waited for him, along with his courtiers and counselors, at the city gates.",,,,,282a.3,,
A,7,1,།གང་གི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེར་སྐྱ་གཞིར་ཞུགས་པ་ན།,"At the very instant that the Bodhisattva entered Kapilavastu,",གཞིན་ནུ་སེར་སྐྱར་འབྱོན་པ་,The youth travels to Kapilavastu,,,282a.3-4,,
A,7,1,ཤཱཀྱ་གཏུམ་པོ་རྩུབ་པ་གཟོ་ལུམ་ཅན་ཅ་ཅོ་ཆེན་པོར་དག་ཀྱང་སྤྱོད་ལམ་དུལ་ཞིང་ཞི་བ་དང་།,"a feeling of humility blew like a soft breeze upon the Shakyas, and worked a deep change of heart in these fierce warriors—who, when all is said and done, were notorious for their crude and cruel character.",,,,,282a.4,,
A,7,1,མི་སྨྲ་བར་གནས་པར་གྱུར་ཏེ།  དཔེར་ན་བརྟུལ་ཞུགས་ལ་རབ་ཏུ་བྱང་པའི་ཐུབ་པ་བཞིན་དུ་གྱུར་ཏོ།,"Seeing them standing thus hushed and still, one would have sworn that these men had always had the gentlest, most refined manners.",,,,,282a.4,,
A,7,1,ཤཱཀྱ་མ་རུངས་པ་རྣམས་ཐུབ་པ་ལྟར་གནས་པ་ཡང་བྱང་ཆུབ་སེམས་དཔའི་མཐུར་ཤེས་ནས།  མཚན་ཤཱཀྱ་ཐུབ་པར་བཏགས་སོ།,"The recalcitrant Shakyas, recognizing that they owed this self-control to the Bodhisattva's power, gave him the epithet Shakyamuni, (Shakya thub pa), the ‘Shakya Tamer’.",,,,,282a.4-5,,
A,7,2,།དེ་ནས་གནོད་སྦྱིན་ཤཱཀྱ་འཕེལ་གྱི་གནས་དང་ཉེ་བར་བྱོན་པ་ན།  གནོད་སྦྱིན་དེ་རང་གི་གཟུགས་ཀྱིས་གནས་ཁང་གི་ཕྱི་རོལ་ཏུ་ཐོན་ནས།,"When the palanquin neared Shakya-shri's sanctuary, the entire population saw with their own eyes that the statue of the yaksa came alive and walked out of the temple.",,,,,282a.5-6,,
A,7,2,བྱང་ཆུབ་སེམས་དཔའི་ཞབས་ལ་གཏུགས་ཤིང་ཕྱག་འཚལ་བ་སྐྱེ་བོའི་ཚོགས་ཐམས་ཅད་ཀྱིས་མཐོང་ནས།,"Taking the Bodhisattva's feet to its forehead, the statue did a full prostration before the child.",གནོད་སྦྱིན་ཤཱཀྱ་གཞོན་ནུ་ལ་ཕྱག་བྱེད་པ་,The yaksa prostrates to the Śākya youth,,,282a.6-7,,
A,7,2,ཤཱཀྱ་རྣམས་ཀྱི་ལྷ་གནོད་སྤྱིན་འདིས་ཀྱང་ཞབས་ལ་བཏུད་པས།  གཞོན་ནུ་འདི་ནི་ལྷའི་ལྷའོ་ཞེས།,"“If even Shakya-shri bows down before him, surely this little prince is a god among gods,” murmured the crowd.",,,,,282a.7,,
A,7,2,མཚན་གྱི་རྣམ་གྲངས་ལྷའི་ལྷར་བཏགས་སོ།,Hence ‘god of gods’ was added to the list of his names.,,,,,282a.7-282b.1,,
A,7,2,།དེ་ནས་གཞོན་ནུ་བྱང་ཆུབ་སེམས་དཔའ་མ་མ་བརྒྱུད་པོ་རྣམས་ལ་རྗེས་སུ་གཏང་ཅིང་།  བདེ་བའི་ཡོ་བྱད་ཐམས་ཅད་ཀྱིས་བསྙེན་བཀུར་བྱེད་ལ།,The king put his son in the care of eight wet-nurses and made sure that he received the best care.,,,,,282b.1-3,,
A,7,2,ཡབ་ཀྱིས་ཀྱང་ཕང་དུ་བཞེས་ཏེ་ཡང་ཡང་རྟོག་པར་མཛད་དོ།,"He would often dandle the baby on his knees, and feel anxious about what the future might hold in store for him.",,,,,282b.3-4,,
A,7,2,།དེའི་ཚེ་བྲམ་ཟེ་ལྟས་མཁན་སོགས་བརྟག་པ་མཁན་ཐམས་ཅད་བོས་ཏེ་དྲིས་པ་ལས།,"One day he had brahmins expert in physiognomy, and sundry other oracle-priests, summoned into his presence to consult them about the prince's prospects.",,,,,282b.4,,
A,7,2,ཕལ་ཆེར་གྱིས་སྐུ་ལ་སྐྱེས་པ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་ཡོད་པར་ཤེས་ནས།,Most of the sages declared that the child's body clearly showed all thirty-two of the signs of a great being. ,,,,,283a.1,,
A,7,2,།གལ་ཏེ་ཁྱིམ་དུ་གནས་ན་ནི་འཁོར་ལོས་བསྒྱུར་པའི་རྒྱལ་པོར་འགྱུར་ལ།  ཁྱིམ་ནས་ཁྱིམ་མེད་པར་རབ་ཏུ་བྱུང་ན་ནི།,"They said to the king: ""either he will choose family life and become a universal monarch, ",,,,,282b.5,,
A,7,2,དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སུ་འགྱུར་རོ། །ཞེས་ལུང་སྟོན་ནོ།,"or he will abandon the world to live the life of a renunciant and become a tathagata, an arhat who destroys the enemy, ignorance; a perfect buddha.”",,,,,283a.1,,
A,7,2,།བྱང་ཆུབ་སེམས་དཔའ་སྐུ་བལྟམས་ནས་ཞག་བདུན་ལོན་པ་ན།  ཡུམ་སྐུ་ནོངས་ཏེ།,"Seven days after the birth of the Bodhisattva, his mother passed from this world.",,,,,284a.3,,
A,7,2,དེ་མ་ཐག་ཏུ་སུམ་ཅུ་རྩ་གསུམ་པའི་ལྷའི་རིགས་གྱ་ནོམ་པར་འཁྲུངས་པར་གྱུར་ཏོ།,"Immediately afterwards she was reborn, with innumerable good qualities, into a family of the Thirty-Three Gods.",,,,,284a.3,,
A,7,2,།དུས་དེ་ཙམ་ནས་བྱང་ཆུབ་སེམས་དཔའ་ནི།  སྐུ་བལྟ་བས་ངོམས་པ་མེད་པ།,"Right from his earliest childhood, the Bodhisattva was such that one could never get one's fill of looking at him;",,,,,284a.4-5,,
A,7,2,གསུང་སྙན་ཞིང་འདེབས་པ།,"his melodious voice enchanted the ear,",,,,,"284a.7-284b.1",,
A,7,2,སྤྱན་མི་འཛུམ་ཞིང་ཉིན་མཚན་ཀུན་དུ་ཁོ་ར་ཁོར་ཡུག་ཏུ་གཟིགས་པ།,and night and day the fathomless depths of his eyes observed the world around.,,,,,284b.1-2,,
A,7,2,དོན་ཟབ་མོའི་ཚིག་དང་ཡི་གེ་དག་སོ་སོར་འབྱེད་པར་མཛད་དོ། །,"The child could already recognize words, written or spoken, and would grasp the essence of their meaning at once.",,,,,284b.3-4,,
